name,code,french,pctFrench,english,pctEnglish,aboriginal
Abitibi,2488,"23,690",97.09,235,0.96,225
Abitibi-Ouest,2487,"20,515",98.62,120,0.63,5
Acton,2448,"14,925",95.7,160,1,0
Antoine-Labelle,2479,"33,630",97.3,485,1.4,5
Argenteuil,2476,"26,010",81.5,"4,820",15.1,5
Arthabaska,2439,"69,175",97.1,520,0.7,
Avignon,2406,"11,550",81,2025,14.2,
Beauce-Sartigan,2429,"50,770",98.5,405,0.78,
Beauharnois-Salaberry,2470,"59,430",94.2,"1,925",3.3,
Bellechasse,2419,"36,105",98.6,270,0.7,
Bonaventure,2405,"14,700",84.3,"2,515",14.4,
Brom-Missisquoi,2446,"44,820",78.69,"9,790",17.02,
Bécancour,2438,"19,550",97.9,155,0.8,
Charlevoix,2416,"12,635",98.9,65,0.5,
Charlevoix-Est,2415,"15,105",98.76,75,0.49,
Coaticook,2444,"16,055",87.7,"1,850",10.1,
D'Autray,2452,"40,525",97.2,415,1,
Deux-Montagnes,2472,"85,125",86.9,"5,520",5.6,
Drummond,2449,"97,865",96,"1,245",1.2,
Francheville,2437,"148,525",98.24,"1,760",1.16,
Gatineau,2481,"220,970",78.5,"35,580",12.6,
Joliette,2461,"45,860",99.1,410,0.86,
Kamouraska,2414,595,97.5,10,1.64,
L'Assomption,2460,"113,485",91.6,"1,760",1.4,
L'Islet,2417,"17,365",99.6,65,0.3,
L'Érable,2432,"22,735",98.3,150,0.6,
Île-d'Orléans,2420,"6,860",97.72,70,6.7,
La Côte-de-Beaupré,2421,"26,995",99.11,240,0.8,
La Côte-de-Gaspé,2403,"14,965",88.8,"1,600",9.5,
La Haute-Côte-Nord,2495,"10,680",99.4,30,0.2,
La Haute-Gaspésie,2404,"11,010",98.61,45,0.4,
La Haute-Yamaska,2447,"80,650",91.3,"2,790",3.2,
La Jacques-Cartier,2422,"41,095",94.67,"1,415",3.26,
La Matapédia,2407,"17,635",99.13,70,0.39,
La Mitis,2409,"17,665",98.58,140,0.78,
La Nouvelle-Beauce,2426,"35,685",98.4,255,0.7,
La Rivière-du-Nord,2475,"119,570",94.5,"2,400",1.47,
La Tuque,2490,"10,455",94.96,180,1.63,
La Vallée-de-l'Or,2489,"39,735",92.88,"1,105",2.58,
La Vallée-de-la-Gatineau,2483,"16,330",83,"2,880",14.64,
La Vallée-du-Richelieu,2457,"114,405",92.6,"3,990",3.2,
Lac-Saint-Jean-Est,2493,"51,520",98.92,180,0.44,
Marguerite-d'Youville,2459,"73,615",95.24,"1,095",1.41,
Laval,2465,"237,430",56.8,"30,295",7.25,20
Le Domaine-du-Roy,2491,"30,090",97.97,100,0.33,
La Granit,2430,"20,720",97.7,245,1.2,
Le Haut-Richelieu,2456,"108,675",93.6,"3,645",3.1,
Le Haut-Saint-François,2441,"19,580",89.92,"2,195",1,
Le Haut-Saint-Laurent,2469,"14,185",64,"6,730",30.4,295
Le Rocher-Percé,2402,"15,680",91.7,"1,235",7.2,
Le Saguenay-et-son-Fjord,2494,"162,590",98.06,"1,345",0.8,
Le Val-Saint-François,2442,"27,875",91.68,"2,045",6.73,
Le Appalaches,2431,"40,675",97.7,495,1.2,
Les Basques,2411,"8,530",99.42,30,0.35,
Les Collines-de-l'Outaouais,2482,"35,570",74.29,"11,060",23.1,
Les Etchemins,2428,"15,970",98.64,125,0.77,
Les Jardins-de-Napierville,2468,"25,040",90.3,"1,650",6,
Les Laurentides,2478,"41,465",92.14,"2,560",5.69,
Les Maskoutains,2454,"81,730",95,665,0.8,
Les Moulins,2464,"140,505",90.73,"3,590",2.3,
Les Pays-d'en-Haut,2477,"36,635",87.9,"3,170",7.6,
Les Sources,2440,"13,485",95.3,420,3,
Les Îles-de-la-Madeleine,2401,"11,900",94,695,5.49,
Longueuil,2458,"295,710",71.96,"29,350",7.14,
Lotbinière,2433,"30,845",98.2,230,0.7,
Lévis,2425,"138,155",97.69,"1,345",0.95,
Manicouagan,2496,"28,035",91.13,220,0.72,
Maria-Chapdelaine,2492,"24,080",99.3,85,0.3,
Maskinongé,2451,"35,215",98.7382588,245,0.686947988,
Matane,2408,"20,800",98.86,95,0.45,
Matawinie,2462,"44,835",89.8,"1,855",4.03,
Memphrémagog,2445,"41,325",83.34,"6,675",13.46,
"Minganie--Le Golfe-du-Saint-Laurent	",2498,"5,710",51.39,"2,860",25.74,"2,515"
Mirabel,2774,"47,560",94.27,"1,050",2.08,
Montcalm,2463,"50,205",98.52,760,1.47,
Montmagny,2418,"22,210",99.13,90,0.4,
Montréal,2466,"888,515",48.74,"307,080",16.84,
Mékinac,2435,"12,105",99.26,75,0.6,
Nicolet-Yamaska,2450,"22,015",97.5,210,0.9,
Nord-du-Québec,2499,"14,665",33.24,"2,060",4.67,"26,835	"
Paineau,2480,"21,015",92.6,"1,150",5.1,
Pierre-De Saurel,2453,"49,035",97.1,485,1,
Pontiac,2484,"5,635",40,"8,020",56.9,
Portneuf,2434,"51,190",98.42,525,1,
Québec,2423,"519,245",93.68,"7,865",1.41,
Rimouski-Neigette,2410,"54,900",98.11,375,0.67,
Rivière-du-Loup,2412,"33,110",98.92440992,180,0.53779504,
Robert-Cliché,2427,"18,410",98.97849462,110,0.591397849,
Roussillon,2467,"131,215",76.8,"19,115",11.12,
Rouville,2455,"34,280",95.8,660,1.8,
Rouyn-Noranda,2486,"40,355",95.89,810,1.92,
Sept-Rivières--Caniapiscau,2497,"33,125",86.36422891,"1,015",2.646330335,
Shawinigan,2436,"46,885",98.20904902,460,0.963552576,
Sherbrooke,2443,"140,660",89.51823331,"6,215",3.955323617,
Thérèse-De Blainville,2473,"133,825",85.85,"6,685",4.28,
Témiscamingue,2485,"13,265",84.04,"2,185",13.84,
