state,year
Alabama,Yes
Alaska,50 Years Older
Arizona,20 Years Older
Arkansas,5 Years Older
California,1 Year Older
Colorado,10 Years Older
Connecticut,15 Years Older
Delaware,Yes
Florida,Yes
Georgia,Yes
Hawaii,50 Years Older
Idaho,20 Years Older
Illinois,1 Year Older
Indiana,Yes
Iowa,Yes
Kansas,Yes
Kentucky,Yes
Louisiana,Yes
Maine,Yes
Maryland,Yes
massachusetts,Yes
Michigan,Yes
Minnesota,Yes
Mississippi,Yes
Missouri,Yes
Montana,25 Years Older
Nebraska,2 Years Older
Nevada,10 Years Older
New Hampshire,Yes
New Jersey,Yes
New Mexico,20 Years Older
New York,Yes
North Dakota,15 Years Older
Ohio,5 Years Older
Oklahoma,15 Years Older
Oregon,10 Years Older
Pennsylvania,Yes
Rhode Island,15 Years Older
South Carolina,Yes
South Dakota,Yes
Tennessee,Yes
Texas,15 Years Older
North Carolina,Yes
Utah,Yes
Vermont,Yes
Virginia,Yes
Washington,Yes
West Virginia,Yes
Wisconsin,Yes
Wyoming,10 Years Older
